date,year,neumonias_men5,hospitalizados_men5,defunciones_men5,neumonias_60mas,hospitalizados_60mas,defunciones_60mas,HR,CFR,HR_roll,CFR_roll
2020-05-25,2020,30,7,1,409,271,78,0.23333333333333334,0.03333333333333333,0.2937307187970716,0.02855466985462595
2020-06-01,2020,55,19,2,486,297,78,0.34545454545454546,0.03636363636363636,0.2931625369788898,0.0331001244000805
2020-06-08,2020,34,8,0,490,388,139,0.23529411764705882,0.0,0.28546492668477214,0.031146999400080498
2020-06-15,2020,48,10,1,527,382,120,0.20833333333333334,0.020833333333333332,0.2766705277776683,0.023505264427402903
2020-06-22,2020,39,13,0,516,321,122,0.3333333333333333,0.0,0.2884458900965089,0.023505264427402903
2020-06-29,2020,45,8,3,537,311,92,0.17777777777777778,0.06666666666666667,0.27390340643637817,0.024485656584265644
2020-07-06,2020,50,10,0,573,317,110,0.2,0.0,0.2628864572838358,0.02236701251646904
2020-07-13,2020,52,14,4,604,335,114,0.2692307692307692,0.07692307692307693,0.2503446512637689,0.029265005827505824
2020-07-20,2020,63,11,0,688,378,112,0.1746031746031746,0.0,0.24300338142249908,0.02509833916083916
2020-07-27,2020,61,15,1,681,315,79,0.2459016393442623,0.01639344262295082,0.2305592681587137,0.022602064943253466
2020-08-03,2020,76,15,2,789,303,71,0.19736842105263158,0.02631578947368421,0.22581855608441026,0.025891538627463993
2020-08-10,2020,118,16,2,698,328,77,0.13559322033898305,0.01694915254237288,0.2167260419601165,0.025406016028593936
2020-08-17,2020,92,28,0,688,318,60,0.30434782608695654,0.0,0.2131028535543194,0.025406016028593936
2020-08-24,2020,84,24,0,632,299,71,0.2857142857142857,0.0,0.2265949170463829,0.017072682695260605
2020-08-31,2020,77,21,3,633,263,47,0.2727272727272727,0.03896103896103896,0.23568582613729194,0.021942812565390477
2020-09-07,2020,75,24,3,515,250,46,0.32,0.04,0.2420319799834458,0.017327427950005858
2020-09-14,2020,60,14,2,479,254,61,0.23333333333333334,0.03333333333333333,0.24937324982471565,0.021494094616672524
2020-09-21,2020,83,25,3,442,264,50,0.30120481927710846,0.03614457831325301,0.25628614731632143,0.0239629865779603
2020-09-28,2020,96,32,0,397,203,33,0.3333333333333333,0.0,0.27328176135140914,0.020673512893749774
2020-10-05,2020,101,23,0,334,162,27,0.22772277227722773,0.0,0.28479795534368973,0.018554868825953162
2020-10-12,2020,72,21,1,339,185,23,0.2916666666666667,0.013888888888888888,0.2832128104161535,0.020290979937064274
2020-10-19,2020,92,27,3,345,181,26,0.29347826086956524,0.03260869565217391,0.28418330731056346,0.024367066893586014
2020-10-26,2020,97,38,4,402,184,27,0.3917525773195876,0.041237113402061855,0.2990614703846028,0.024651576198713877
2020-11-02,2020,74,28,3,364,173,34,0.3783783783783784,0.04054054054054054,0.3063587676819001,0.024719143766281444
2020-11-09,2020,90,31,0,406,182,34,0.34444444444444444,0.0,0.320247656570789,0.020552477099614774
2020-11-16,2020,101,30,4,376,186,26,0.297029702970297,0.039603960396039604,0.31972576703243755,0.020984899859963102
2020-11-23,2020,86,21,1,456,209,29,0.2441860465116279,0.011627906976744186,0.3085823561797244,0.022438388232056124
2020-11-30,2020,81,14,0,457,219,38,0.1728395061728395,0.0,0.30172194791667584,0.022438388232056124
2020-12-07,2020,85,11,0,475,256,28,0.12941176470588237,0.0,0.2814400851715778,0.020702277120945013
2020-12-14,2020,103,26,0,485,221,28,0.2524271844660194,0.0,0.27630870062113455,0.016626190164423273
2020-12-21,2020,109,19,0,443,227,30,0.1743119266055046,0.0,0.24912861928187421,0.011471550989165542
2020-12-28,2020,79,26,1,487,238,28,0.3291139240506329,0.012658227848101266,0.24297056249090604,0.007986261902610632
2021-01-04,2021,183,34,1,690,350,104,0.18579234972677597,0.00546448087431694,0.22313905065119746,0.00866932201190025
2021-01-11,2021,171,35,4,732,381,135,0.2046783625730994,0.023391812865497075,0.21159513310154776,0.006642803570582433
2021-01-18,2021,161,32,0,883,460,190,0.19875776397515527,0.0,0.20591659778448868,0.005189315198489411
2021-01-25,2021,173,43,1,958,544,196,0.24855491329479767,0.005780346820809248,0.21538102367473347,0.005911858551090566
2021-02-01,2021,129,33,2,927,516,198,0.2558139534883721,0.015503875968992248,0.23118129727254466,0.007849843047214597
2021-02-08,2021,122,25,2,866,473,144,0.20491803278688525,0.01639344262295082,0.2252426533126529,0.00989902337508345
2021-02-15,2021,108,19,2,890,497,247,0.17592592592592593,0.018518518518518517,0.22544440322770554,0.012213838189898265
2021-02-22,2021,106,26,0,905,488,231,0.24528301886792453,0.0,0.214965540079867,0.010631559708885607
2021-03-01,2021,155,33,2,903,426,188,0.2129032258064516,0.012903225806451613,0.21835439958982647,0.01156140282540244
2021-03-08,2021,164,35,4,940,477,178,0.21341463414634146,0.024390243902439025,0.21944643353648172,0.011686206705020184
2021-03-15,2021,118,18,3,1005,527,197,0.15254237288135594,0.025423728813559324,0.2136695096497568,0.0148641728067151
2021-03-22,2021,147,32,2,1031,604,273,0.21768707482993196,0.013605442176870748,0.2098110298416486,0.015842309726222786
2021-03-29,2021,142,35,1,1064,617,225,0.24647887323943662,0.007042253521126761,0.20864414481053167,0.014784606920239602
2021-04-05,2021,147,42,3,1093,649,318,0.2857142857142857,0.02040816326530612,0.2187436764264567,0.015286447000534014
2021-04-12,2021,191,40,3,1150,687,283,0.2094240837696335,0.015706806282722512,0.22293094615692016,0.014934982971059513
2021-04-19,2021,169,34,1,1240,719,362,0.20118343195266272,0.005917159763313609,0.21741849779251243,0.015674627941473715
2021-04-26,2021,160,32,2,1099,678,271,0.2,0.0125,0.21580559456670598,0.015624224715667264
2021-05-03,2021,142,29,0,1000,687,338,0.20422535211267606,0.0,0.2146569343124978,0.012575444227862383
2021-05-10,2021,153,37,1,1028,599,229,0.24183006535947713,0.006535947712418301,0.22581789587226295,0.010214471590219756
2021-05-17,2021,149,36,1,1026,588,223,0.24161073825503357,0.006711409395973154,0.22880835380040065,0.009352717492607557
2021-05-24,2021,188,50,3,898,520,242,0.26595744680851063,0.015957446808510637,0.23124317549653492,0.01046711665353054
2021-05-31,2021,183,59,3,840,446,159,0.3224043715846995,0.01639344262295082,0.23582943623033664,0.009965276573236129
2021-06-07,2021,171,57,0,679,401,110,0.3333333333333333,0.0,0.2513180924257991,0.008001925787895815
2021-06-14,2021,174,43,1,602,278,103,0.2471264367816092,0.005747126436781609,0.2570609680294174,0.007980671622079315
2021-06-21,2021,224,71,2,448,244,67,0.3169642857142857,0.008928571428571428,0.27168150374370315,0.0075342430506507435
2021-06-28,2021,194,68,3,441,168,56,0.35051546391752575,0.015463917525773196,0.2899677677193094,0.009467232741372393
2021-07-05,2021,275,76,1,444,160,47,0.27636363636363637,0.0036363636363636364,0.2942844640948293,0.009104784731865559
2021-07-12,2021,238,74,2,478,166,32,0.31092436974789917,0.008403361344537815,0.30294866803143744,0.009316278725436142
2021-07-19,2021,200,53,1,464,146,37,0.265,0.005,0.3028289871803736,0.007946597874372314
2021-07-26,2021,197,58,1,336,136,39,0.29441624365482233,0.005076142131979695,0.299330471189139,0.006531935313000922
2021-08-02,2021,184,59,3,449,125,25,0.32065217391304346,0.016304347826086956,0.29774532626160277,0.008569978791261793
2021-08-09,2021,193,56,4,407,147,35,0.29015544041450775,0.02072538860103627,0.30312395171571505,0.010442261561793623
2021-08-16,2021,205,53,3,360,125,30,0.25853658536585367,0.014634146341463415,0.2958204891721611,0.011155458425905124
2021-08-23,2021,196,57,2,450,142,22,0.29081632653061223,0.01020408163265306,0.2883580969987969,0.010497978939265106
2021-08-30,2021,160,43,0,327,99,23,0.26875,0.0,0.2874063924533423,0.010043433484719652
2021-09-06,2021,191,52,0,324,119,30,0.27225130890052357,0.0,0.2825722598474204,0.008993013316652424
2021-09-13,2021,201,58,5,343,133,44,0.2885572139303483,0.024875621890547265,0.2855169115887139,0.011477466052970833
2021-09-20,2021,194,47,2,385,149,35,0.2422680412371134,0.010309278350515464,0.2789983862865003,0.012131608080287805
2021-09-27,2021,198,52,3,319,95,40,0.26262626262626265,0.015151515151515152,0.2717451473756527,0.011987503995966329
2021-10-04,2021,144,37,1,323,131,23,0.2569444444444444,0.006944444444444444,0.2675937728793948,0.010264885976392349
2021-10-11,2021,195,60,3,320,139,25,0.3076923076923077,0.015384615384615385,0.27373823817020154,0.010358694606786345
2021-10-18,2021,196,56,0,308,141,36,0.2857142857142857,0.0,0.2731004830681607,0.009083184402704713
2021-10-25,2021,209,50,1,341,130,30,0.23923444976076555,0.004784688995215311,0.2694110392882564,0.009681270527106628
2021-11-01,2021,208,67,0,390,162,36,0.32211538461538464,0.0,0.27564404875261406,0.009681270527106628
2021-11-08,2021,186,41,1,396,170,23,0.22043010752688172,0.005376344086021506,0.26712816045218074,0.007243860801540908
2021-11-15,2021,197,52,1,431,167,39,0.2639593908629442,0.005076142131979695,0.26983957915540957,0.006589718774223937
2021-11-22,2021,200,58,5,403,158,47,0.29,0.025,0.27326129632712676,0.007820779380284543
2021-11-29,2021,230,70,1,383,156,48,0.30434782608695654,0.004347826086956522,0.27918671903244074,0.007496202085598552
2021-12-06,2021,195,64,0,376,164,31,0.3282051282051282,0.0,0.2817508215965433,0.005573125162521629
2021-12-13,2021,196,56,0,538,147,33,0.2857142857142857,0.0,0.2817508215965433,0.005573125162521629
2021-12-20,2021,215,58,2,406,141,38,0.26976744186046514,0.009302325581395349,0.28556744560900577,0.006137829735794134
2021-12-27,2021,269,70,4,494,211,46,0.26022304832713755,0.01486988847583643,0.2778309035729749,0.007996565795273688
2022-01-03,2022,450,101,5,532,253,45,0.22444444444444445,0.011111111111111112,0.2783326956876703,0.008713411673409888
2022-01-10,2022,418,93,3,550,237,56,0.22248803827751196,0.007177033492822967,0.27314877661449116,0.008976023093515298
2022-01-17,2022,426,115,5,557,302,68,0.2699530516431925,0.011737089201877934,0.2706429080698903,0.0073181592437500395
2022-01-24,2022,301,88,3,500,235,76,0.292358803986711,0.009966777408637873,0.2691442803073596,0.008020528158960209
2022-01-31,2022,201,76,4,607,351,121,0.3781094527363184,0.01990049751243781,0.2753823208737583,0.010508090348014934
2022-02-07,2022,193,47,2,541,281,95,0.24352331606217617,0.010362694300518135,0.2701084496672446,0.011803427135579702
2022-02-14,2022,160,52,1,454,231,69,0.325,0.00625,0.2770125194346865,0.011421886437905282
2022-02-21,2022,161,44,0,382,169,55,0.2732919254658385,0.0,0.27864612907702413,0.009563150378425728
2022-02-28,2022,206,60,0,355,160,53,0.2912621359223301,0.0,0.2869983405117598,0.00817426148953684
2022-03-07,2022,256,79,2,365,178,35,0.30859375,0.0078125,0.2977615544770708,0.00825369480293397
2022-03-14,2022,300,75,4,359,135,32,0.25,0.013333333333333334,0.29526742302167175,0.008453225319365895
2022-03-21,2022,326,91,1,423,138,23,0.2791411042944785,0.003067484662576687,0.29361521056014267,0.0075908137261082465
2022-03-28,2022,348,118,1,426,156,45,0.3390804597701149,0.0028735632183908046,0.2887365864393673,0.0054624469393523695
2022-04-04,2022,417,148,2,374,137,30,0.354916067146283,0.004796163069544364,0.30266068032488064,0.0047666305354806485
2022-04-11,2022,392,116,1,385,151,24,0.29591836734693877,0.002551020408163265,0.299025476243248,0.004304258086501056
2022-04-18,2022,473,123,3,387,143,24,0.26004228329809725,0.006342494714587738,0.29736927097228033,0.005097069925824524
2022-04-25,2022,501,153,7,364,153,29,0.30538922155688625,0.013972055888223553,0.29913515667659984,0.006843576911852467
2022-05-02,2022,500,176,5,354,149,32,0.352,0.01,0.30456093792659983,0.0071170144118524676
2022-05-09,2022,577,211,1,421,144,33,0.36568457538994803,0.0017331022530329288,0.31902150985034333,0.0056669855268149175
2022-05-16,2022,647,219,6,433,140,37,0.3384853168469861,0.00927357032457496,0.32643953641940676,0.006442746234564702
2022-05-23,2022,685,207,5,470,135,32,0.3021897810218978,0.0072992700729927005,0.32182820157587966,0.006995959591389939
2022-05-30,2022,609,188,1,472,183,36,0.30870279146141216,0.0016420361247947454,0.31605154211527076,0.006601693723296236
2022-06-06,2022,627,210,8,454,165,43,0.3349282296650718,0.012759170653907496,0.32092777490503743,0.007877712504014265
2022-06-13,2022,708,206,3,550,164,53,0.2909604519774011,0.00423728813559322,0.3247925459899504,0.00761456168163995
2022-06-20,2022,668,242,8,524,209,45,0.36227544910179643,0.011976047904191617,0.3319033244330642,0.007365060683635959
2022-06-27,2022,545,153,7,519,201,45,0.28073394495412846,0.012844036697247707,0.3229950675523302,0.007720565270791922
2022-07-04,2022,607,188,10,635,247,49,0.30971993410214166,0.016474464579901153,0.3159994873913544,0.00956323556165045
2022-07-11,2022,649,195,5,509,225,45,0.300462249614792,0.007704160246533128,0.3112466039873302,0.009367059301895221
2022-07-18,2022,546,169,4,481,207,40,0.30952380952380953,0.007326007326007326,0.31216335755006913,0.009370401458522049
2022-07-25,2022,444,166,5,450,230,44,0.3738738738738739,0.01126126126126126,0.3203097428516269,0.010572804600580363
2022-08-01,2022,465,122,6,513,210,58,0.2623655913978495,0.012903225806451613,0.31123941306822406,0.010590811494648378
2022-08-08,2022,397,103,8,493,205,55,0.2594458438287154,0.020151133501259445,0.3073000870496384,0.012580042165356655
2022-08-15,2022,323,99,3,421,189,36,0.3065015479876161,0.009287925696594427,0.3003283494103658,0.012244026889407008
2022-08-22,2022,385,94,5,478,181,44,0.24415584415584415,0.012987012987012988,0.2957560868105803,0.012261898925627669
2022-08-29,2022,383,106,1,436,162,41,0.27676240208877284,0.0026109660574412533,0.29163639530890917,0.010528961610320181
